disease_id,name,type,description,symptoms,causes,treatments,related_bacteria,related_virus
384,Chickenpox,Viral,"A highly contagious viral infection causing an itchy, blister-like rash.","Itchy, blister-like rash, fever, tiredness, loss of appetite","Infection with varicella-zoster virus, spread by respiratory droplets or contact with lesions.","Antihistamines, calamine lotion, antiviral drugs (acyclovir) in severe cases",Escherichia coli,Rabies
385,Asthma,Viral,"A chronic inflammatory disease of the airways that causes periodic attacks of wheezing, shortness of breath, and coughing.","Shortness of breath, wheezing, coughing, chest tightness","Chronic inflammation of the airways, triggered by allergens, pollution, respiratory infections, or exercise.","Inhaled corticosteroids, bronchodilators, avoiding triggers",Shigella dysenteriae,Influenza
386,Ebola,Metabolic,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Streptococcus pneumoniae,Cytomegalovirus
387,Ebola,Parasitic,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Yersinia pestis,Varicella-zoster
388,Zika,Metabolic,"A disease caused by Zika virus, spread mainly by mosquitoes, associated with birth defects when contracted during pregnancy.","Fever, rash, joint pain, red eyes, muscle pain","Infection with Zika virus, transmitted by Aedes mosquitoes or sexual contact.","Supportive care, rest, fluids, pain relievers",Klebsiella pneumoniae,Ebola
389,Dengue,Metabolic,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Listeria monocytogenes,Cytomegalovirus
390,Ebola,Viral,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Corynebacterium diphtheriae,HPV
391,Diabetes Mellitus,Viral,A group of metabolic diseases characterized by high blood sugar levels over a prolonged period.,"Increased thirst, frequent urination, hunger, fatigue, blurred vision","Insufficient insulin production or insulin resistance, influenced by genetics, lifestyle, and obesity.","Insulin therapy, oral hypoglycemic agents, diet, exercise",Pseudomonas aeruginosa,Epstein-Barr
392,Ebola,Bacterial,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Salmonella enterica,Epstein-Barr
393,Ebola,Viral,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Yersinia pestis,Polio
394,Malaria,Viral,"A mosquito-borne infectious disease caused by Plasmodium parasites, leading to fever, chills, and flu-like illness.","Fever, chills, headache, nausea, vomiting, muscle pain","Infection by Plasmodium parasites, transmitted by the bite of infected Anopheles mosquitoes.","Antimalarial drugs (artemisinin-based combination therapies, chloroquine)",Klebsiella pneumoniae,Polio
395,Zika,Parasitic,"A disease caused by Zika virus, spread mainly by mosquitoes, associated with birth defects when contracted during pregnancy.","Fever, rash, joint pain, red eyes, muscle pain","Infection with Zika virus, transmitted by Aedes mosquitoes or sexual contact.","Supportive care, rest, fluids, pain relievers",Klebsiella pneumoniae,Rabies
396,Dengue,Genetic,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Neisseria meningitidis,Norovirus
397,Influenza,Viral,A disease affecting humans. Further research may be required for specific details about Influenza.,"look, son, long, our","Varies: may include infections, genetics, environment, or lifestyle factors. Further research may be required for specific details about Influenza.","Supportive care, consult a healthcare professional",Clostridium tetani,Marburg
398,Dengue,Bacterial,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Listeria monocytogenes,Epstein-Barr
399,Leprosy,Parasitic,"A chronic infectious disease caused by Mycobacterium leprae, affecting the skin, nerves, and mucous membranes.","Skin lesions, numbness, muscle weakness, eye problems","Chronic infection with Mycobacterium leprae, spread via respiratory droplets.","Multidrug therapy (dapsone, rifampicin, clofazimine)",Neisseria meningitidis,Rubella
400,Cholera,Bacterial,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Escherichia coli,Dengue
401,Influenza,Viral,A disease affecting humans. Further research may be required for specific details about Influenza.,"my, effect, trouble","Varies: may include infections, genetics, environment, or lifestyle factors. Further research may be required for specific details about Influenza.","Supportive care, consult a healthcare professional",Listeria monocytogenes,Epstein-Barr
402,Influenza,Bacterial,A disease affecting humans. Further research may be required for specific details about Influenza.,"particularly, several, south, total, amount","Varies: may include infections, genetics, environment, or lifestyle factors. Further research may be required for specific details about Influenza.","Supportive care, consult a healthcare professional",Treponema pallidum,Marburg
403,COVID-19,Viral,"A contagious respiratory illness caused by the SARS-CoV-2 virus, leading to symptoms ranging from mild cold-like illness to severe pneumonia.","Fever, cough, shortness of breath, fatigue, loss of taste or smell","Infection with the SARS-CoV-2 coronavirus, primarily spread via respiratory droplets.","Supportive care, oxygen therapy, antiviral medications (e.g., remdesivir)",Proteus mirabilis,Polio
404,Polio,Genetic,A viral disease that can affect nerves and can lead to partial or full paralysis.,"Fever, sore throat, headache, vomiting, back pain, neck stiffness, paralysis","Infection with poliovirus, spread by fecal-oral route.","Supportive care, physical therapy, ventilatory support if needed",Vibrio cholerae,SARS-CoV-2
405,Measles,Parasitic,"A highly contagious viral disease causing fever, cough, and a characteristic rash.","Fever, cough, runny nose, inflamed eyes, red rash","Infection with measles virus, spread by respiratory droplets.","Supportive care, vitamin A supplementation",Enterococcus faecalis,SARS-CoV-2
406,Malaria,Parasitic,"A mosquito-borne infectious disease caused by Plasmodium parasites, leading to fever, chills, and flu-like illness.","Fever, chills, headache, nausea, vomiting, muscle pain","Infection by Plasmodium parasites, transmitted by the bite of infected Anopheles mosquitoes.","Antimalarial drugs (artemisinin-based combination therapies, chloroquine)",Neisseria meningitidis,Cytomegalovirus
407,Hypertension,Parasitic,A chronic condition characterized by elevated blood pressure levels.,"Often asymptomatic, but may cause headaches, shortness of breath, nosebleeds","Combination of genetic, environmental, and lifestyle factors, including high salt intake, obesity, and stress.","Lifestyle modification, antihypertensive medications",Mycobacterium tuberculosis,Norovirus
408,Measles,Genetic,"A highly contagious viral disease causing fever, cough, and a characteristic rash.","Fever, cough, runny nose, inflamed eyes, red rash","Infection with measles virus, spread by respiratory droplets.","Supportive care, vitamin A supplementation",Salmonella enterica,Rotavirus
409,Malaria,Bacterial,"A mosquito-borne infectious disease caused by Plasmodium parasites, leading to fever, chills, and flu-like illness.","Fever, chills, headache, nausea, vomiting, muscle pain","Infection by Plasmodium parasites, transmitted by the bite of infected Anopheles mosquitoes.","Antimalarial drugs (artemisinin-based combination therapies, chloroquine)",Staphylococcus aureus,Rubella
410,Influenza,Metabolic,A disease affecting humans. Further research may be required for specific details about Influenza.,"soldier, half","Varies: may include infections, genetics, environment, or lifestyle factors. Further research may be required for specific details about Influenza.","Supportive care, consult a healthcare professional",Clostridium tetani,Mumps
411,Tuberculosis,Viral,"A potentially serious infectious disease that mainly affects the lungs, caused by Mycobacterium tuberculosis.","Cough (sometimes blood-tinged), weight loss, night sweats, fever","Infection by Mycobacterium tuberculosis, transmitted via airborne droplets from coughs or sneezes.","Antibiotic therapy (isoniazid, rifampin, ethambutol, pyrazinamide)",Corynebacterium diphtheriae,Zika
412,Malaria,Genetic,"A mosquito-borne infectious disease caused by Plasmodium parasites, leading to fever, chills, and flu-like illness.","Fever, chills, headache, nausea, vomiting, muscle pain","Infection by Plasmodium parasites, transmitted by the bite of infected Anopheles mosquitoes.","Antimalarial drugs (artemisinin-based combination therapies, chloroquine)",Staphylococcus aureus,Measles
413,HIV/AIDS,Viral,A virus that attacks the immune system and can lead to acquired immunodeficiency syndrome (AIDS).,"Fever, fatigue, swollen lymph nodes, weight loss, recurrent infections","Infection with the human immunodeficiency virus (HIV), spread through blood, sexual contact, or from mother to child.",Antiretroviral therapy (ART),Listeria monocytogenes,Ebola
414,Cholera,Bacterial,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Vibrio cholerae,Zika
